geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
14000US42101036502,"Census Tract 365.02, Philadelphia, PA",4088,226,666,146,626,146,20,24,20,26,0,10,0,10,2654,175,2407,188,83,58,120,74,44,47,0,10,768,98,605,93,10,15,115,87,25,27,13,22
14000US42101036600,"Census Tract 366, Philadelphia, PA",2395,300,68,55,28,30,13,22,0,10,27,40,0,10,1866,301,1441,286,218,150,77,55,106,62,24,37,461,151,400,141,0,10,32,40,29,32,0,10
14000US42101036700,"Census Tract 367, Philadelphia, PA",3431,395,291,195,233,143,22,24,36,55,0,10,0,10,2883,307,2482,302,100,53,256,117,45,37,0,10,257,98,247,97,0,10,10,15,0,10,0,10
14000US42101036900,"Census Tract 369, Philadelphia, PA",5787,910,53,53,53,53,0,15,0,15,0,15,0,15,5555,865,4232,668,141,70,279,91,833,289,70,43,179,81,156,83,0,15,3,6,0,15,20,30
14000US42101037200,"Census Tract 372, Philadelphia, PA",4545,308,587,143,425,146,26,38,75,70,48,43,13,22,3001,298,2030,261,59,71,205,171,672,188,35,47,957,172,691,136,0,10,107,61,159,149,0,10
14000US42101037300,"Census Tract 373, Philadelphia, PA",5409,406,689,243,595,256,0,15,19,30,75,93,0,15,3343,356,2664,313,381,286,96,91,140,110,62,59,1377,239,1252,234,0,15,101,89,24,38,0,15
14000US42101037500,"Census Tract 375, Philadelphia, PA",3429,392,552,214,521,233,30,34,1,7,0,10,0,10,2361,294,1885,325,135,73,145,99,77,51,119,80,516,113,470,121,0,10,31,28,8,13,7,12
14000US42101037600,"Census Tract 376, Philadelphia, PA",3190,424,121,75,38,47,25,38,0,10,58,55,0,10,2805,394,2018,353,228,119,126,73,422,159,11,12,264,75,224,69,0,10,0,10,40,44,0,10
14000US42101037700,"Census Tract 377, Philadelphia, PA",5120,1314,457,177,401,141,50,66,0,15,6,12,0,15,4495,1286,3579,1269,620,217,57,43,164,81,75,61,168,97,87,70,47,48,34,54,0,15,0,15
14000US42101037800,"Census Tract 378, Philadelphia, PA",2409,427,154,89,136,86,0,10,18,28,0,10,0,10,1799,438,1651,440,57,69,40,36,28,24,23,35,456,117,437,114,19,28,0,10,0,10,0,10
14000US42101037900,"Census Tract 379, Philadelphia, PA",4797,481,577,268,415,222,36,57,126,129,0,15,0,15,3223,282,2574,388,170,111,428,257,51,76,0,15,997,131,808,175,0,15,176,149,13,21,0,15
14000US42101038000,"Census Tract 380, Philadelphia, PA",2048,239,465,116,407,120,58,38,0,10,0,10,0,10,1339,184,940,193,328,126,38,37,21,34,12,18,244,66,171,62,32,37,36,41,0,10,5,8
14000US42101038100,"Census Tract 381, Philadelphia, PA",746,104,98,46,89,35,0,10,9,14,0,10,0,10,542,98,457,85,58,41,15,14,12,16,0,10,106,37,103,38,3,5,0,10,0,10,0,10
14000US42101038200,"Census Tract 382, Philadelphia, PA",2541,300,536,230,499,230,10,16,27,32,0,10,0,10,1750,231,1360,229,241,115,149,110,0,10,0,10,255,88,172,51,53,55,25,23,5,8,0,10
14000US42101038300,"Census Tract 383, Philadelphia, PA",3218,437,706,233,588,217,118,134,0,10,0,10,0,10,2283,313,1182,273,1079,239,12,18,5,10,5,10,229,84,68,54,161,75,0,10,0,10,0,10
14000US42101038400,"Census Tract 384, Philadelphia, PA",2354,136,351,70,351,70,0,10,0,10,0,10,0,10,1433,90,1377,92,13,14,13,15,20,31,10,17,570,71,558,75,0,10,6,10,6,9,0,10
14000US42101038500,"Census Tract 385, Philadelphia, PA",1775,135,193,52,193,52,0,10,0,10,0,10,0,10,1019,117,886,127,0,10,103,73,30,30,0,10,563,73,490,73,7,9,49,30,5,7,12,19
14000US42101038600,"Census Tract 386, Philadelphia, PA",1358,95,233,58,208,55,6,10,6,10,8,11,5,8,732,61,633,69,6,9,65,47,14,15,14,16,393,42,330,46,14,15,41,29,0,10,8,13
14000US42101038700,"Census Tract 387, Philadelphia, PA",2666,401,260,85,249,84,0,10,0,10,3,6,8,12,1759,337,1613,295,32,27,40,34,68,62,6,12,647,216,619,219,16,21,12,17,0,10,0,10
14000US42101038800,"Census Tract 388, Philadelphia, PA",3485,204,496,94,466,107,22,28,8,12,0,10,0,10,2135,167,2006,165,82,71,20,24,14,22,13,20,854,119,765,127,0,10,66,51,14,15,9,15
14000US42101038900,"Census Tract 389, Philadelphia, PA",3157,457,547,229,531,228,16,25,0,10,0,10,0,10,2084,369,2004,361,62,50,13,23,0,10,5,9,526,118,513,122,5,13,8,13,0,10,0,10
14000US42101039000,"Census Tract 390, Philadelphia, PA",7426,906,2000,543,1388,484,362,217,250,242,0,15,0,15,4643,505,2797,486,784,376,840,469,96,111,126,90,783,207,459,104,207,166,100,119,0,15,17,26
14000US42101980000,"Census Tract 9800, Philadelphia, PA",407,142,65,85,61,88,4,8,0,10,0,10,0,10,339,113,266,103,17,20,42,40,7,13,7,14,3,6,3,6,0,10,0,10,0,10,0,10
14000US42101980100,"Census Tract 9801, Philadelphia, PA",40,40,12,14,12,14,0,10,0,10,0,10,0,10,18,20,18,20,0,10,0,10,0,10,0,10,10,11,10,11,0,10,0,10,0,10,0,10
14000US42101980200,"Census Tract 9802, Philadelphia, PA",542,153,40,27,27,18,13,20,0,10,0,10,0,10,128,43,111,43,9,13,0,10,8,11,0,10,374,147,361,135,13,20,0,10,0,10,0,10
14000US42101980300,"Census Tract 9803, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101980400,"Census Tract 9804, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101980500,"Census Tract 9805, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101980600,"Census Tract 9806, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101980700,"Census Tract 9807, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101980800,"Census Tract 9808, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101980900,"Census Tract 9809, Philadelphia, PA",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
14000US42101989100,"Census Tract 9891, Philadelphia, PA",1811,353,31,51,23,36,5,11,0,10,0,10,3,5,1754,349,1393,282,307,98,19,23,10,13,25,25,26,24,20,27,0,10,0,10,0,10,6,10
16000US4260000,"Philadelphia, PA",1472512,43,238998,43,185465,1812,28878,1238,9198,883,10072,682,5385,957,1021240,30,773121,3536,113061,2108,57711,2605,57362,1387,19985,1799,212274,30,172204,1169,13162,463,15389,1013,9854,337,1665,348
31000US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5723059,194,973061,216,824149,2747,75708,1636,34202,1558,28214,1380,10788,1077,3799655,301,3144225,5131,274529,2736,183499,4043,149287,2492,48115,2744,950343,249,838556,1927,29560,745,50337,1646,26278,734,5612,563
