geoid,name,B16007001,"B16007001, Error",B16007002,"B16007002, Error",B16007003,"B16007003, Error",B16007004,"B16007004, Error",B16007005,"B16007005, Error",B16007006,"B16007006, Error",B16007007,"B16007007, Error",B16007008,"B16007008, Error",B16007009,"B16007009, Error",B16007010,"B16007010, Error",B16007011,"B16007011, Error",B16007012,"B16007012, Error",B16007013,"B16007013, Error",B16007014,"B16007014, Error",B16007015,"B16007015, Error",B16007016,"B16007016, Error",B16007017,"B16007017, Error",B16007018,"B16007018, Error",B16007019,"B16007019, Error"
14000US42101028700,"Census Tract 287, Philadelphia, PA",2323,294,619,212,389,188,230,130,0,10,0,10,0,10,1532,195,611,191,833,263,62,77,26,40,0,10,172,67,27,34,145,66,0,10,0,10,0,10
14000US42101028800,"Census Tract 288, Philadelphia, PA",4374,478,1081,278,455,245,457,221,25,38,131,110,13,70,2970,286,872,320,1588,331,22,32,403,246,85,98,323,136,76,60,185,141,36,41,26,32,0,10
14000US42101028901,"Census Tract 289.01, Philadelphia, PA",3465,392,598,201,243,146,324,185,31,66,0,10,0,10,2590,309,758,223,1475,336,57,122,300,232,0,10,277,62,102,44,129,72,0,10,46,48,0,10
14000US42101028902,"Census Tract 289.02, Philadelphia, PA",6199,773,1527,534,374,182,1025,483,15,27,101,94,12,25,4352,576,1873,475,1949,465,64,78,443,185,23,47,320,125,113,65,134,93,0,15,73,60,0,15
14000US42101029000,"Census Tract 290, Philadelphia, PA",7061,974,1737,714,804,621,659,380,244,289,30,49,0,15,4673,732,2251,519,1852,564,256,234,314,158,0,15,651,258,347,202,39,64,83,100,182,143,0,15
14000US42101029100,"Census Tract 291, Philadelphia, PA",4711,427,980,212,425,186,355,155,0,15,200,97,0,15,3312,330,1190,280,1149,327,58,104,771,196,144,191,419,133,163,106,41,47,0,15,195,117,20,32
14000US42101029200,"Census Tract 292, Philadelphia, PA",4352,525,968,397,561,461,388,255,0,10,10,20,9,16,2964,387,1262,370,1478,462,119,94,52,48,53,60,420,82,171,91,103,63,82,89,57,53,7,14
14000US42101029300,"Census Tract 293, Philadelphia, PA",2740,369,773,198,498,194,256,183,0,10,0,10,19,29,1715,240,868,272,796,273,24,38,0,10,27,34,252,90,178,63,74,77,0,10,0,10,0,10
14000US42101029400,"Census Tract 294, Philadelphia, PA",3322,404,737,247,374,160,180,155,10,18,150,144,23,34,2259,302,1404,371,597,252,94,114,164,194,0,10,326,86,268,69,49,44,9,14,0,10,0,10
14000US42101029800,"Census Tract 298, Philadelphia, PA",4416,430,1135,306,724,275,369,162,27,31,15,24,0,10,2923,250,2007,300,755,201,106,82,55,49,0,10,358,89,306,89,13,20,39,39,0,10,0,10
14000US42101029900,"Census Tract 299, Philadelphia, PA",4018,476,1112,292,911,270,169,122,32,50,0,10,0,10,2563,327,1818,302,726,186,19,30,0,10,0,10,343,103,200,66,106,78,37,37,0,10,0,10
14000US42101030000,"Census Tract 300, Philadelphia, PA",6956,952,1721,363,1121,333,428,208,126,211,0,15,46,73,4424,682,3352,697,635,273,133,128,160,146,144,149,811,204,699,198,82,110,0,15,30,34,0,15
14000US42101030100,"Census Tract 301, Philadelphia, PA",5575,718,1409,346,1315,365,73,86,21,34,0,15,0,15,3797,660,3187,663,560,175,0,15,50,89,0,15,369,109,234,126,104,84,0,15,15,24,16,36
